"sourceAddress","sum(inAmount)","inAsset"
"12Q8wWGBU6f5BCrKtAAUxhMvWg4PEjUbru","129044323","BTC"
"12CZtANtgE7GqtpNk1yQFun9qieYvjq5jm","100000000","BTC"
"12pgAUmAKNctgqESkcgnAsXHp7qc9iJSk5","100000000","BTC"
"13z61tkwJCiJZLBep8eB26Cs9b7zuxKZ2m","128210000","BTC"
"14KcUcdTN8dHe81LmX1QPqAn7YmXuxUckT","100000000","BTC"
"15Jk4E68GqRJqTMFuocwrH7ebqSC7dMyx1","100000000","BTC"
"16qnxf3Uo7G474EB3c4bd2hUvmZxjbAQ1Z","100000000","BTC"
"17NTwCsTm4ErBjnQv4QYdWuCXGwpV9zbwy","100000000","BTC"
"17hRc1Xk1fZKVoV8CpAHBqGZ3b3VXxD4Bs","210477868","BTC"
"18Naw2ZS6y3UgjuHby6sXFUugS7K2aopb9","216433017","BTC"
"197KVFHTPessaXfB1AoRj1MDWTz3koGibw","100000000","BTC"
"19dZ2xx4Mtqan5vJU4uMha6AgZroZxF9fe","199500000","BTC"
"1A36UrLHxeg9ABoS4zPsRUegyCWTWER2kF","200000000","BTC"
"1AmQV75v5KX1C5tU8z6KvB26pifw8F8yuW","100000000","BTC"
"1C2g9NBB4gBc2iZJhXEoHrWyzsZ8GZxyMm","100000000","BTC"
"1CAzdnnLMYrbwAMCBWYZjFhsLLfSxfnCGt","100000000","BTC"
"1Cdq3cSnA887oCLLyBKcZmoYi3g6RXocF3","100000000","BTC"
"1DFPykCb4Z3tQnLmgSyFXES2do71boUCAf","100000000","BTC"
"1DjUEzm1BGbRTGe7GBLggsknYf8N6vXesy","100000000","BTC"
"1Ep2Buc4fcyabhNhfuAbNLRZFzrqWQ7p3M","100000000","BTC"
"1Fb3vWg7nhzec3mYM91BahWq9xSjvioBV6","100000000","BTC"
"1FvcdE9G6ZJrU7wbwYuYPe5d85Jgz37rVw","249987800","BTC"
"1GY78bMQtJD6m5N726t5UgGj4Ytfcu5TTe","100000000","BTC"
"1GcPe7y1jH55eod3MjrfZDHfHFWe9b82Nm","100000000","BTC"
"1GyezN6F6RHDqRaHaroJNxZMfqKXZNuDNu","100000000","BTC"
"1H5yuYUbXxC5NjSknbEdq56VrvefLbyDXo","200000000","BTC"
"1JLhK8ijmCPf8zs6HQC1eHFQnX9rUPTqdj","100000000","BTC"
"1K7SiG7x6wrvpz8mnPFrHehgWAhTAhWtDX","299980000","BTC"
"1KNxUXVC6iz5FsGkgambMMqeXhGHDKR5zm","100000000","BTC"
"1KiAE8TdgzdevbyNjGCbasM7HfbXXkB4vs","100000000","BTC"
"1LBtFtQa3VPz2WT5xnYeUuBVHnVrihkgu6","100000000","BTC"
"1MDTnfg8ce7xdHrNH973tKFr1KkvUjUgUF","100000000","BTC"
